nvertices group nembeddings relcost
1 laststep 100000 1.0
2 laststep 1080156 0.915265439484
3 laststep 66081419 0.982454231855
4 laststep 10957439024 0.993899011189
5 laststep 2549490788644 0.995694343328
1 prevsteps 0 0.0
2 prevsteps 100000 0.0847345605157
3 prevsteps 1180156 0.0175457681447
4 prevsteps 67261575 0.00610098881108
5 prevsteps 11024700599 0.0043056566716
