query nworkers runtime
q2 1 5215480
q2 1 3172184
q2 1 5691889
q2 2 1269270
q2 2 1355611
q2 2 1301155
q2 3 829294
q2 3 832338
q2 3 840823
q2 4 623545
q2 4 620017
q2 4 635618
q2 5 506986
q2 5 497541
q2 5 498568
q2 6 435457
q2 6 420614
q2 6 414018
q2 7 363144
q2 7 358877
q2 7 352885
q2 8 306680
q2 8 315797
q2 8 312412
q2 9 272795
q2 9 275534
q2 9 277858
