breakdown step partitionid runtime
InitialComputation 0 225 765

InitialComputation 0 226 684

InitialComputation 0 227 798

InitialComputation 0 228 1197

InitialComputation 0 229 559

InitialComputation 0 230 918

InitialComputation 0 231 446

InitialComputation 0 232 958

InitialComputation 0 233 653

InitialComputation 0 234 743

InitialComputation 0 235 733

InitialComputation 0 236 780

InitialComputation 0 237 1119

InitialComputation 0 238 539

InitialComputation 0 239 1039

InitialComputation 0 240 513

InitialComputation 0 241 863

InitialComputation 0 242 669

InitialComputation 0 243 658

InitialComputation 0 244 650

InitialComputation 0 245 836

InitialComputation 0 246 1178

InitialComputation 0 247 413

InitialComputation 0 248 1081

InitialComputation 0 249 561

InitialComputation 0 250 836

InitialComputation 0 251 729

InitialComputation 1 0 413

InitialComputation 1 1 511

InitialComputation 1 2 456

InitialComputation 1 3 345

InitialComputation 1 4 521

InitialComputation 1 5 395

InitialComputation 1 6 515

InitialComputation 1 7 409

InitialComputation 1 8 355

InitialComputation 1 9 440

InitialComputation 1 10 541

InitialComputation 1 11 450

InitialComputation 1 12 319

InitialComputation 1 13 549

InitialComputation 1 14 406

InitialComputation 1 15 485

InitialComputation 1 16 414

InitialComputation 1 17 375

InitialComputation 1 18 413

InitialComputation 1 19 521

InitialComputation 1 20 440

InitialComputation 1 21 310

InitialComputation 1 22 532

InitialComputation 1 23 403

InitialComputation 1 24 497

InitialComputation 1 25 406

InitialComputation 1 26 365

InitialComputation 1 27 428

InitialComputation 1 28 525

InitialComputation 1 29 450

InitialComputation 1 30 358

InitialComputation 1 31 570

InitialComputation 1 32 396

InitialComputation 1 33 505

InitialComputation 1 34 413

InitialComputation 1 35 419

InitialComputation 1 36 460

InitialComputation 1 37 543

InitialComputation 1 38 435

InitialComputation 1 39 304

InitialComputation 1 40 540

InitialComputation 1 41 388

InitialComputation 1 42 487

InitialComputation 1 43 379

InitialComputation 1 44 375

InitialComputation 1 45 433

InitialComputation 1 46 514

InitialComputation 1 47 432
