mode breakdown step partitionid runtime
4.Internal+External InitialComputation 0 72 476
4.Internal+External WorkStealingComputation 0 72 1561
4.Internal+External InitialComputation 0 73 639
4.Internal+External WorkStealingComputation 0 73 1394
4.Internal+External InitialComputation 0 74 553
4.Internal+External WorkStealingComputation 0 74 1354
4.Internal+External InitialComputation 0 75 485
4.Internal+External WorkStealingComputation 0 75 1389
4.Internal+External InitialComputation 0 76 630
4.Internal+External WorkStealingComputation 0 76 1349
4.Internal+External InitialComputation 0 77 759
4.Internal+External WorkStealingComputation 0 77 1058
4.Internal+External InitialComputation 0 78 767
4.Internal+External WorkStealingComputation 0 78 1159
4.Internal+External InitialComputation 0 79 833
4.Internal+External WorkStealingComputation 0 79 1241
4.Internal+External InitialComputation 0 80 433
4.Internal+External WorkStealingComputation 0 80 1490
4.Internal+External InitialComputation 0 81 821
4.Internal+External WorkStealingComputation 0 81 1171
4.Internal+External InitialComputation 0 82 533
4.Internal+External WorkStealingComputation 0 82 1485
4.Internal+External InitialComputation 0 83 584
4.Internal+External WorkStealingComputation 0 83 1378
4.Internal+External InitialComputation 0 84 513
4.Internal+External WorkStealingComputation 0 84 1402
4.Internal+External InitialComputation 0 85 527
4.Internal+External WorkStealingComputation 0 85 1390
4.Internal+External InitialComputation 0 86 570
4.Internal+External WorkStealingComputation 0 86 1408
4.Internal+External InitialComputation 0 87 828
4.Internal+External WorkStealingComputation 0 87 1130
4.Internal+External InitialComputation 0 88 834
4.Internal+External WorkStealingComputation 0 88 1080
4.Internal+External InitialComputation 0 89 797
4.Internal+External WorkStealingComputation 0 89 1333
4.Internal+External InitialComputation 0 90 465
4.Internal+External WorkStealingComputation 0 90 1446
4.Internal+External InitialComputation 0 91 831
4.Internal+External WorkStealingComputation 0 91 1074
4.Internal+External InitialComputation 0 92 578
4.Internal+External WorkStealingComputation 0 92 1445
4.Internal+External InitialComputation 0 93 647
4.Internal+External WorkStealingComputation 0 93 1386
4.Internal+External InitialComputation 0 94 522
4.Internal+External WorkStealingComputation 0 94 1378
4.Internal+External InitialComputation 0 95 459
4.Internal+External WorkStealingComputation 0 95 1381
4.Internal+External InitialComputation 0 96 642
4.Internal+External WorkStealingComputation 0 96 1340
4.Internal+External InitialComputation 0 97 650
4.Internal+External WorkStealingComputation 0 97 1078
4.Internal+External InitialComputation 0 98 674
4.Internal+External WorkStealingComputation 0 98 1246
4.Internal+External InitialComputation 0 99 861
4.Internal+External WorkStealingComputation 0 99 1243
4.Internal+External InitialComputation 0 100 425
4.Internal+External WorkStealingComputation 0 100 1463
4.Internal+External InitialComputation 0 101 830
4.Internal+External WorkStealingComputation 0 101 1072
4.Internal+External InitialComputation 0 102 586
4.Internal+External WorkStealingComputation 0 102 1453
4.Internal+External InitialComputation 0 103 451
4.Internal+External WorkStealingComputation 0 103 1525
4.Internal+External InitialComputation 0 104 602
4.Internal+External WorkStealingComputation 0 104 1308
4.Internal+External InitialComputation 0 105 480
4.Internal+External WorkStealingComputation 0 105 1350
4.Internal+External InitialComputation 0 106 603
4.Internal+External WorkStealingComputation 0 106 1376
4.Internal+External InitialComputation 0 107 857
4.Internal+External WorkStealingComputation 0 107 1090
4.Internal+External InitialComputation 0 108 735
4.Internal+External WorkStealingComputation 0 108 1196
4.Internal+External InitialComputation 0 109 853
4.Internal+External WorkStealingComputation 0 109 1303
4.Internal+External InitialComputation 0 110 406
4.Internal+External WorkStealingComputation 0 110 1481
4.Internal+External InitialComputation 0 111 857
