breakdown step partitionid runtime
WorkStealingComputation 0 105 2214
InitialComputation 0 106 849
WorkStealingComputation 0 106 1824
InitialComputation 0 107 1129
WorkStealingComputation 0 107 2177
InitialComputation 0 108 366
WorkStealingComputation 0 108 2778
InitialComputation 0 109 392
WorkStealingComputation 0 109 2882
InitialComputation 0 110 448
WorkStealingComputation 0 110 2755
InitialComputation 0 111 955
WorkStealingComputation 0 111 2288
InitialComputation 0 112 452
WorkStealingComputation 0 112 2803
InitialComputation 0 113 973
WorkStealingComputation 0 113 2133
InitialComputation 0 114 610
WorkStealingComputation 0 114 2403
InitialComputation 0 115 830
WorkStealingComputation 0 115 2144
InitialComputation 0 116 811
WorkStealingComputation 0 116 1862
InitialComputation 0 117 1220
WorkStealingComputation 0 117 2122
InitialComputation 0 118 355
WorkStealingComputation 0 118 2777
InitialComputation 0 119 402
WorkStealingComputation 0 119 2880
InitialComputation 0 120 515
WorkStealingComputation 0 120 2728
InitialComputation 0 121 915
WorkStealingComputation 0 121 2279
InitialComputation 0 122 505
WorkStealingComputation 0 122 2766
InitialComputation 0 123 916
WorkStealingComputation 0 123 2176
InitialComputation 0 124 624
WorkStealingComputation 0 124 2396
InitialComputation 0 125 803
WorkStealingComputation 0 125 2203
InitialComputation 0 126 594
WorkStealingComputation 0 126 2069
InitialComputation 0 127 1075
WorkStealingComputation 0 127 2207
InitialComputation 0 128 540
WorkStealingComputation 0 128 2628
InitialComputation 0 129 400
WorkStealingComputation 0 129 2898
InitialComputation 0 130 446
WorkStealingComputation 0 130 2784
InitialComputation 0 131 979
WorkStealingComputation 0 131 2279
InitialComputation 0 132 435
WorkStealingComputation 0 132 2813
InitialComputation 0 133 948
WorkStealingComputation 0 133 2158
InitialComputation 0 134 819
WorkStealingComputation 0 134 2401
InitialComputation 0 135 837
WorkStealingComputation 0 135 2168
InitialComputation 0 136 711
WorkStealingComputation 0 136 2077
InitialComputation 0 137 1184
WorkStealingComputation 0 137 2157
InitialComputation 0 138 425
WorkStealingComputation 0 138 2711
InitialComputation 0 139 475
WorkStealingComputation 0 139 2832
InitialComputation 0 140 522
WorkStealingComputation 0 140 2739
InitialComputation 0 141 997
WorkStealingComputation 0 141 2249
InitialComputation 0 142 413
WorkStealingComputation 0 142 2831
InitialComputation 0 143 1017
WorkStealingComputation 0 143 2091
InitialComputation 0 144 395
WorkStealingComputation 0 144 2632
InitialComputation 0 145 827
WorkStealingComputation 0 145 2220
InitialComputation 0 146 877
WorkStealingComputation 0 146 1818
InitialComputation 0 147 1245
WorkStealingComputation 0 147 2138
InitialComputation 0 148 592
WorkStealingComputation 0 148 2576
InitialComputation 0 149 430
WorkStealingComputation 0 149 2868
InitialComputation 0 150 519
WorkStealingComputation 0 150 2747
InitialComputation 0 151 941
WorkStealingComputation 0 151 2272
InitialComputation 0 152 498
WorkStealingComputation 0 152 2755
InitialComputation 0 153 945
WorkStealingComputation 0 153 2162
InitialComputation 0 154 669
WorkStealingComputation 0 154 2373
InitialComputation 0 155 816
WorkStealingComputation 0 155 2190
InitialComputation 0 156 672
WorkStealingComputation 0 156 2121
InitialComputation 0 157 1167
WorkStealingComputation 0 157 2152
InitialComputation 0 158 483
WorkStealingComputation 0 158 2686
InitialComputation 0 159 399
WorkStealingComputation 0 159 2928
InitialComputation 0 160 454
WorkStealingComputation 0 160 2776
InitialComputation 0 161 999
WorkStealingComputation 0 161 2256
InitialComputation 0 162 498
WorkStealingComputation 0 162 2765
InitialComputation 0 163 936
WorkStealingComputation 0 163 2168
InitialComputation 0 164 634
WorkStealingComputation 0 164 2398
InitialComputation 0 165 892
WorkStealingComputation 0 165 2234
InitialComputation 0 166 829
WorkStealingComputation 0 166 1861
InitialComputation 0 167 1142
WorkStealingComputation 0 167 2186
InitialComputation 0 168 379
WorkStealingComputation 0 168 2760
InitialComputation 0 169 417
WorkStealingComputation 0 169 2896
InitialComputation 0 170 548
WorkStealingComputation 0 170 2716
InitialComputation 0 171 964
WorkStealingComputation 0 171 2229
InitialComputation 0 172 509
WorkStealingComputation 0 172 2756
InitialComputation 0 173 915
WorkStealingComputation 0 173 2188
InitialComputation 0 174 711
WorkStealingComputation 0 174 2410
InitialComputation 0 175 727
WorkStealingComputation 0 175 2284
InitialComputation 0 176 753
WorkStealingComputation 0 176 1937
InitialComputation 0 177 1096
WorkStealingComputation 0 177 2208
InitialComputation 0 178 611
WorkStealingComputation 0 178 2675
InitialComputation 0 179 381
WorkStealingComputation 0 179 2882
InitialComputation 0 180 425
WorkStealingComputation 0 180 2772
InitialComputation 0 181 950
WorkStealingComputation 0 181 2284
InitialComputation 0 182 313
WorkStealingComputation 0 182 2931
InitialComputation 0 183 959
WorkStealingComputation 0 183 2146
InitialComputation 0 184 655
WorkStealingComputation 0 184 2409
InitialComputation 0 185 796
WorkStealingComputation 0 185 2197
InitialComputation 0 186 940
WorkStealingComputation 0 186 1860
InitialComputation 0 187 1214
WorkStealingComputation 0 187 2107
