alg sys comm steps runtime status
motifs arabesque odag 2 21041 S
motifs arabesque odag 3 842847 S
motifs arabesque odag 4 0 FT
motifs fractal scratch 2 63156 S
motifs fractal scratch 3 416154 S
motifs fractal scratch 4 0 FT
