query nworkers runtime
q1 1 33054
q1 1 32298
q1 1 32581
q1 1 36046
q1 1 33752
q1 2 19183
q1 2 18619
q1 2 18675
q1 2 19864
q1 2 18733
q1 3 13093
q1 3 14437
q1 3 13927
q1 3 14278
q1 3 14657
q1 4 10401
q1 4 10021
q1 4 11058
q1 4 10680
q1 4 10783
q1 5 10277
q1 5 10196
q1 5 10980
q1 5 9769
q1 5 10604
q1 6 8387
q1 6 9183
q1 6 9344
q1 6 8931
q1 6 8722
q1 7 7508
q1 7 7271
q1 7 7279
q1 7 7898
q1 7 7427
q1 8 6396
q1 8 6554
q1 8 6319
q1 8 7002
q1 8 5907
q1 9 6424
q1 9 5564
q1 9 5782
q1 9 5575
q1 9 6223
