sys alg graph depth mem
arabesque cliques youtube 4 31.221123173832893
arabesque cliques youtube 4 32.210807017982006
arabesque cliques youtube 4 32.34305592626333
arabesque cliques youtube 4 32.41589506715536
arabesque cliques youtube 4 32.720168985426426
arabesque cliques youtube 4 32.87559762597084
arabesque cliques youtube 4 33.224031284451485
arabesque cliques youtube 4 38.417691849172115
arabesque cliques youtube 4 38.50465281307697
arabesque cliques youtube 4 38.79490551352501
arabesque cliques youtube 4 39.97501419484615
arabesque cliques youtube 4 40.42837957292795
arabesque cliques youtube 4 40.494686000049114
arabesque cliques youtube 4 40.542691849172115
arabesque cliques youtube 4 41.343434385955334
arabesque cliques youtube 4 41.412585720419884
arabesque cliques youtube 4 43.01791152358055
arabesque cliques youtube 4 43.07906547188759
arabesque cliques youtube 4 44.01011251658201
arabesque cliques youtube 4 44.930843345820904
arabesque cliques youtube 4 45.18219439685345
arabesque cliques youtube 4 45.698941849172115
arabesque cliques youtube 4 45.796845123171806
arabesque cliques youtube 4 46.430294655263424
arabesque cliques youtube 4 46.97482401877642
arabesque cliques youtube 4 47.25478633493185
arabesque cliques youtube 4 47.54482128471136
arabesque cliques youtube 4 47.8249491378665
arabesque cliques youtube 4 47.86052951961756
arabesque cliques youtube 4 48.61536295711994
arabesque cliques youtube 4 48.86746118217707
arabesque cliques youtube 4 48.93060360848904
arabesque cliques youtube 4 49.46183181554079
arabesque cliques youtube 4 49.86570780724287
arabesque cliques youtube 4 50.02171842753887
arabesque cliques youtube 4 50.690338119864464
arabesque cliques youtube 4 51.04876194149256
arabesque cliques youtube 4 51.374966360628605
arabesque cliques youtube 4 51.72284319996834
arabesque cliques youtube 4 51.947696819901466
arabesque cliques youtube 4 52.15197075903416
arabesque cliques youtube 4 52.53759644925594
arabesque cliques youtube 4 54.00714758783579
arabesque cliques youtube 4 54.094777159392834
arabesque cliques youtube 4 54.16442609578371
arabesque cliques youtube 4 56.1273732855916
arabesque cliques youtube 4 57.38867329061031
arabesque cliques youtube 4 57.43022898584604
arabesque cliques youtube 4 57.71084788441658
arabesque cliques youtube 4 57.71184232831001
arabesque cliques youtube 4 57.73599084466696
arabesque cliques youtube 4 58.1006455719471
arabesque cliques youtube 4 58.4012715741992
arabesque cliques youtube 4 59.04481937736273
arabesque cliques youtube 4 59.31192673742771
arabesque cliques youtube 4 59.641952000558376
arabesque cliques youtube 4 60.33494459092617
arabesque cliques youtube 4 61.060323268175125
arabesque cliques youtube 4 62.4164439663291
arabesque cliques youtube 4 64.51002572476864
arabesque cliques youtube 4 64.80648774653673
arabesque cliques youtube 4 65.02156240493059
arabesque cliques youtube 4 65.4744061306119
arabesque cliques youtube 4 66.98956261575222
arabesque cliques youtube 4 70.07209497690201
arabesque cliques youtube 4 70.72435025125742
arabesque cliques youtube 4 70.79792679101229
arabesque cliques youtube 4 70.97259571403265
arabesque cliques youtube 4 72.21339776366949
arabesque cliques youtube 4 75.38863891363144
arabesque cliques youtube 4 75.46416711807251
arabesque cliques youtube 4 76.55358958244324
arabesque cliques youtube 4 76.92539784312248
arabesque cliques youtube 4 78.55349926650524
arabesque cliques youtube 4 79.6333072334528
arabesque cliques youtube 4 79.69952618330717
arabesque cliques youtube 4 79.8352342993021
arabesque cliques youtube 4 79.98787002265453
arabesque cliques youtube 4 80.31224425882101
arabesque cliques youtube 4 80.69321098923683
arabesque cliques youtube 4 80.7775521427393
arabesque cliques youtube 4 80.89529001712799
arabesque cliques youtube 4 80.93926212191582
arabesque cliques youtube 4 80.95286925137043
arabesque cliques youtube 4 81.0511949211359
arabesque cliques youtube 4 81.30435629189014
arabesque cliques youtube 4 81.35433917492628
arabesque cliques youtube 4 81.71919482946396
arabesque cliques youtube 4 81.79516585916281
arabesque cliques youtube 4 81.82786925137043
arabesque cliques youtube 4 82.7106082290411
arabesque cliques youtube 4 82.71239464730024
arabesque cliques youtube 4 82.93255504965782
arabesque cliques youtube 4 83.37796842306852
arabesque cliques youtube 4 83.50710541754961
arabesque cliques youtube 4 84.04661925137043
arabesque cliques youtube 4 84.05771692097187
arabesque cliques youtube 4 84.20767018944025
arabesque cliques youtube 4 84.25518763065338
arabesque cliques youtube 4 84.8184193149209
arabesque cliques youtube 4 85.14590591937304
arabesque cliques youtube 4 85.27098957449198
arabesque cliques youtube 4 85.33428710699081
arabesque cliques youtube 4 85.46733237802982
arabesque cliques youtube 4 85.55224155634642
arabesque cliques youtube 4 85.67837772518396
arabesque cliques youtube 4 85.75382567197084
arabesque cliques youtube 4 85.7854690104723
arabesque cliques youtube 4 85.90328828245401
arabesque cliques youtube 4 85.92951940745115
arabesque cliques youtube 4 86.28754943609238
arabesque cliques youtube 4 86.3034526258707
arabesque cliques youtube 4 86.3906049579382
arabesque cliques youtube 4 86.45784850418568
arabesque cliques youtube 4 86.47509949654341
arabesque cliques youtube 4 86.82536990195513
arabesque cliques youtube 4 86.83560632169247
arabesque cliques youtube 4 86.92028469592333
arabesque cliques youtube 4 86.97219227254391
arabesque cliques youtube 4 87.02669835090637
arabesque cliques youtube 4 87.1047239229083
arabesque cliques youtube 4 87.14773231744766
arabesque cliques youtube 4 87.20286928117275
arabesque cliques youtube 4 87.68305769562721
arabesque cliques youtube 4 87.86702434718609
arabesque cliques youtube 4 87.95848959684372
arabesque cliques youtube 4 88.10520793497562
arabesque cliques youtube 4 88.25487497448921
arabesque cliques youtube 4 88.45914426445961
arabesque cliques youtube 4 88.53765363246202
arabesque cliques youtube 4 88.63435608148575
arabesque cliques youtube 4 88.93491022288799
arabesque cliques youtube 4 89.05661674588919
arabesque cliques youtube 4 89.37865376472473
arabesque cliques youtube 4 89.88036659359932
arabesque cliques youtube 4 90.035180978477
arabesque cliques youtube 4 90.09147260338068
