sys alg graph depth mem
arabesque motifs youtube 4 10.071028977632523
arabesque motifs youtube 4 10.127028867602348
arabesque motifs youtube 4 10.171205952763557
arabesque motifs youtube 4 10.172384269535542
arabesque motifs youtube 4 10.216646432876587
arabesque motifs youtube 4 10.232501789927483
arabesque motifs youtube 4 10.262617208063602
arabesque motifs youtube 4 10.281949564814568
arabesque motifs youtube 4 10.318908609449863
arabesque motifs youtube 4 10.375787571072578
arabesque motifs youtube 4 10.43998933583498
arabesque motifs youtube 4 10.441130451858044
arabesque motifs youtube 4 10.454932428896427
arabesque motifs youtube 4 10.46944122761488
arabesque motifs youtube 4 10.526703029870987
arabesque motifs youtube 4 10.530186675488949
arabesque motifs youtube 4 10.536098890006542
arabesque motifs youtube 4 10.542769931256771
arabesque motifs youtube 4 10.559265397489071
arabesque motifs youtube 4 10.563277125358582
arabesque motifs youtube 4 10.565876968204975
arabesque motifs youtube 4 10.570544429123402
arabesque motifs youtube 4 10.651826284825802
arabesque motifs youtube 4 10.657022662460804
arabesque motifs youtube 4 10.689929030835629
arabesque motifs youtube 4 10.70481089502573
arabesque motifs youtube 4 10.736294947564602
arabesque motifs youtube 4 10.764526128768921
arabesque motifs youtube 4 10.766113452613354
arabesque motifs youtube 4 10.771168634295464
arabesque motifs youtube 4 10.792163297533989
arabesque motifs youtube 4 10.813581936061382
arabesque motifs youtube 4 10.856261514127254
arabesque motifs youtube 4 10.87569373846054
arabesque motifs youtube 4 10.948411390185356
arabesque motifs youtube 4 10.969501115381718
arabesque motifs youtube 4 11.004141330718994
arabesque motifs youtube 4 11.029684968292713
arabesque motifs youtube 4 11.047251611948013
arabesque motifs youtube 4 11.057943798601627
arabesque motifs youtube 4 11.063226655125618
arabesque motifs youtube 4 11.08308719098568
arabesque motifs youtube 4 11.145359478890896
arabesque motifs youtube 4 11.16717354208231
arabesque motifs youtube 4 11.174642160534859
arabesque motifs youtube 4 11.180920377373695
arabesque motifs youtube 4 11.219820871949196
arabesque motifs youtube 4 11.232281379401684
arabesque motifs youtube 4 11.260911390185356
arabesque motifs youtube 4 11.278063230216503
arabesque motifs youtube 4 11.286519721150398
arabesque motifs youtube 4 11.30491752922535
