alg sys comm steps runtime status
motifs arabesque odag 2 12870 S
motifs arabesque odag 3 0 FT
motifs arabesque odag 4 0 FM
motifs fractal scratch 2 22636 S
motifs fractal scratch 3 90409 S
motifs fractal scratch 4 0 FM
