alg sys comm steps runtime status
motifs arabesque odag 2 2570 S
motifs arabesque odag 3 34994 S
motifs arabesque odag 4 8657548 S
motifs arabesque odag 5 0 FT
motifs fractal scratch 2 20062 S
motifs fractal scratch 3 35632 S
motifs fractal scratch 4 5021396 S
motifs fractal scratch 5 0 FT
